dates,daily_positive_cases
02-Mar,2
03-Mar,1
04-Mar,22
05-Mar,2
06-Mar,1
07-Mar,3
08-Mar,5
09-Mar,9
10-Mar,15
11-Mar,8
12-Mar,10
13-Mar,10
14-Mar,11
15-Mar,10
16-Mar,14
17-Mar,20
18-Mar,25
19-Mar,27
20-Mar,58
21-Mar,78
22-Mar,69
23-Mar,94
24-Mar,74
25-Mar,86
26-Mar,73
27-Mar,153
28-Mar,136
29-Mar,120
30-Mar,187
31-Mar,309
01-Apr,424
02-Apr,486
03-Apr,560
04-Apr,579
05-Apr,609
06-Apr,484
07-Apr,573
08-Apr,565
09-Apr,813
10-Apr,871
11-Apr,854
12-Apr,758
13-Apr,1243
14-Apr,1031
15-Apr,886
16-Apr,1061
17-Apr,922
18-Apr,1371
19-Apr,1580
20-Apr,1239
21-Apr,1537
22-Apr,1292
23-Apr,1667
24-Apr,1408
25-Apr,1835
26-Apr,1607
27-Apr,1568
28-Apr,1902
29-Apr,1705
30-Apr,1802
01-May,2396
02-May,2564
03-May,2952
04-May,3656
05-May,2971
06-May,3602
07-May,3344
08-May,3339
09-May,3175
10-May,4311
11-May,3592
12-May,3562
13-May,3726
14-May,3991
15-May,3808
16-May,4794
17-May,5049
18-May,4628
19-May,6154
20-May,5720
21-May,6023
22-May,6536
23-May,6665
24-May,7111
25-May,6414
26-May,5907
27-May,7246
28-May,7254
29-May,8138
30-May,8364
31-May,8789
01-Jun,7724
02-Jun,8812
03-Jun,9688
04-Jun,9847
05-Jun,9472
06-Jun,10408
07-Jun,10882
08-Jun,8536
09-Jun,9981
10-Jun,11156
11-Jun,11135
12-Jun,11306
13-Jun,12039
14-Jun,11404
15-Jun,10032
16-Jun,11085
17-Jun,13108
18-Jun,13829
19-Jun,14740
20-Jun,15918
21-Jun,15151
22-Jun,13560
23-Jun,15656
24-Jun,16868
25-Jun,18205
26-Jun,18255
27-Jun,20142
28-Jun,19610
29-Jun,18339
30-Jun,18255
01-Jul,19430
02-Jul,21947
03-Jul,22718
04-Jul,24018
05-Jul,23942
06-Jul,22500
07-Jul,23148
08-Jul,25561
09-Jul,25790
10-Jul,27749
11-Jul,27754
12-Jul,29106
13-Jul,28178
14-Jul,29917
15-Jul,32607
16-Jul,35468
17-Jul,34824
18-Jul,37411
19-Jul,40235
20-Jul,36806
21-Jul,39170
22-Jul,45601
23-Jul,48443
24-Jul,48888
25-Jul,50072
26-Jul,48932
27-Jul,46484
28-Jul,49631
29-Jul,52479
30-Jul,54968
31-Jul,57486
01-Aug,55117
02-Aug,52672
03-Aug,50491
04-Aug,51282
05-Aug,56626
06-Aug,62170
07-Aug,61455
08-Aug,65156
09-Aug,62117
10-Aug,53016
11-Aug,61252
12-Aug,67066
13-Aug,64141
14-Aug,65610
15-Aug,63986
16-Aug,58096
17-Aug,54298
18-Aug,65024
19-Aug,69196
20-Aug,68518
21-Aug,69029
22-Aug,70067
23-Aug,61749
24-Aug,59696
25-Aug,66873
26-Aug,75995
27-Aug,76827
28-Aug,76657
29-Aug,78479
30-Aug,79461
31-Aug,68766
01-Sep,78168
02-Sep,82865
03-Sep,84159
04-Sep,87107
05-Sep,90606
06-Sep,91725
07-Sep,75015
08-Sep,89855
09-Sep,95536
10-Sep,96762
11-Sep,97655
12-Sep,94414
13-Sep,93220
14-Sep,81909
15-Sep,91097
16-Sep,97860
17-Sep,96787
18-Sep,92973
19-Sep,92574
20-Sep,87395
21-Sep,74493
22-Sep,83362
23-Sep,86703
24-Sep,85921
25-Sep,85717
26-Sep,88759
27-Sep,82770
28-Sep,69669
29-Sep,80500
30-Sep,86748
01-Oct,81785
02-Oct,79885
03-Oct,75479
04-Oct,74770
05-Oct,60130
06-Oct,71869
07-Oct,78809
08-Oct,70798
09-Oct,73305
10-Oct,74418
11-Oct,67789
12-Oct,54262
13-Oct,63717
14-Oct,67811
15-Oct,63441
16-Oct,62304
17-Oct,61893
18-Oct,56519
19-Oct,45506
20-Oct,54348
